ID_ESSAI;ID_ESPECE;ESPECE;ANNEE;ID_DEPARTEMENT;DEPARTEMENT;NB_PARCELLE (rdt15);Responsable;Code postal;Site expérimental;Commune
148043;47;MAIS GRAIN;2020;65;HAUTES PYRENEES;72;MANGEL;65500;;NOUILHAN
148044;47;MAIS GRAIN;2020;33;GIRONDE;71;MANGEL;33190;;BOURDELLES
148045;47;MAIS GRAIN;2020;81;TARN;72;MANGEL;81600;;RIVIERES
148047;47;MAIS GRAIN;2020;16;CHARENTE;60;MOYNIER;16460;;CHENON
148048;47;MAIS GRAIN;2020;1;AIN;62;MANGEL;1800;;SAINT-MAURICE-DE-GOURDANS
148049;47;MAIS GRAIN;2020;31;HAUTE GARONNE;54;LACHURIE Jean-Pierre;31560;CALMONT;CALMONT
148050;47;MAIS GRAIN;2020;1;AIN;45;MANGEL;1240;;MARLIEUX
148052;47;MAIS GRAIN;2020;38;ISERE;60;N. MANGEL;38920;;CROLLES
148053;47;MAIS GRAIN;2020;38;ISERE;53;MANGEL;38260;;MARCILLOLES
148054;47;MAIS GRAIN;2020;38;ISERE;52;MANGEL;38260;;GILLONNAY
148055;47;MAIS GRAIN;2020;68;HAUT RHIN;54;MANGEL;68127;;SAINTE-CROIX-EN-PLAINE
148056;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;54;MANGEL;17290;;AIGREFEUILLE-D'AUNIS
148057;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;54;MANGEL;17770;;AUMAGNE
148058;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;54;MANGEL;17400;;SAINT-JEAN-D'ANGELY
148060;47;MAIS GRAIN;2020;85;VENDEE;135;MOYNIER;85320;PEAULT;PEAULT
148061;47;MAIS GRAIN;2020;86;VIENNE;48;MANGEL;86160;;MAGNE
148063;47;MAIS GRAIN;2020;40;LANDES;51;S. BEAUX;40410;;LIPOSTHEY
148064;47;MAIS GRAIN;2020;40;LANDES;53;MANGEL;40210;;SOLFERINO
148065;47;MAIS GRAIN;2020;40;LANDES;54;MANGEL;40400;;MEILHAN
148066;47;MAIS GRAIN;2020;65;HAUTES PYRENEES;53;MANGEL;65500;;CAMALES
148067;47;MAIS GRAIN;2020;81;TARN;54;MANGEL;81600;;RIVIERES
148068;47;MAIS GRAIN;2020;16;CHARENTE;65;MANGEL;16460;;CHENON
148069;47;MAIS GRAIN;2020;68;HAUT RHIN;54;MANGEL;68740;;RUSTENHART
148071;47;MAIS GRAIN;2020;3;ALLIER;41;C. HUMEAU;3340;;SAINT-GERAND-DE-VAUX
148072;47;MAIS GRAIN;2020;68;HAUT RHIN;45;MANGEL;68190;;ENSISHEIM
148073;47;MAIS GRAIN;2020;40;LANDES;53;MANGEL;40290;;MOUSCARDES
148074;47;MAIS GRAIN;2020;1;AIN;43;MANGEL;1240;;MARLIEUX
148075;47;MAIS GRAIN;2020;1;AIN;72;T. RAY;1400;;ROMANS
148077;47;MAIS GRAIN;2020;21;COTE D'OR;43;MANGEL;21170;;LOSNE
148078;47;MAIS GRAIN;2020;68;HAUT RHIN;54;MANGEL;68600;;NEUF-BRISACH
148079;47;MAIS GRAIN;2020;67;BAS RHIN;42;LASSERRE Didier;67230;;WESTHOUSE
148080;47;MAIS GRAIN;2020;68;HAUT RHIN;41;MANGEL;68190;;ENSISHEIM
148081;47;MAIS GRAIN;2020;68;HAUT RHIN;51;MANGEL;68127;;SAINTE-CROIX-EN-PLAINE
148082;47;MAIS GRAIN;2020;14;CALVADOS;72;MANGEL;14480;;SAINT-GABRIEL-BRECY
148083;47;MAIS GRAIN;2020;22;COTES D'ARMOR;72;P-F. LECLERCQ;22590;;TREGOMEUR
148084;47;MAIS GRAIN;2020;35;ILLE ET VILAINE;72;C. HUMEAU;35740;;PACE
148086;47;MAIS GRAIN;2020;53;MAYENNE;72;MANGEL;53240;;ALEXAIN
148087;47;MAIS GRAIN;2020;56;MORBIHAN;72;MANGEL;56390;;LOCMARIA-GRAND-CHAMP
148090;47;MAIS GRAIN;2020;56;MORBIHAN;72;F. ELOI;56920;;NOYAL-PONTIVY
148091;47;MAIS GRAIN;2020;22;COTES D'ARMOR;72;E. BOUGOUIN;22170;;SAINT-JEAN-KERDANIEL
148092;47;MAIS GRAIN;2020;29;FINISTERE;72;N. MANGEL;29550;;PLOMODIERN
148093;47;MAIS GRAIN;2020;8;ARDENNES;53;MANGEL;8220;;SAINT-QUENTIN-LE-PETIT
148094;47;MAIS GRAIN;2020;14;CALVADOS;90;MANGEL;14480;;SAINT-GABRIEL-BRECY
148095;47;MAIS GRAIN;2020;22;COTES D'ARMOR;81;MANGEL;22210;;LA CHEZE
148096;47;MAIS GRAIN;2020;22;COTES D'ARMOR;78;MANGEL;22200;;SQUIFFIEC
148097;47;MAIS GRAIN;2020;56;MORBIHAN;81;C. CHAINE;56930;;PLUMELIAU
148098;47;MAIS GRAIN;2020;22;COTES D'ARMOR;80;MANGEL;22590;;TREGOMEUR
148099;47;MAIS GRAIN;2020;35;ILLE ET VILAINE;80;MANGEL;35460;;MONTOURS
148101;47;MAIS GRAIN;2020;2;AISNE;90;MANGEL;2350;;CUIRIEUX
148102;47;MAIS GRAIN;2020;61;ORNE;90;S. BEAUX;61500;;SEES
148103;47;MAIS GRAIN;2020;62;PAS DE CALAIS;86;P-F. LECLERCQ;62182;;VILLERS-LES-CAGNICOURT
148104;47;MAIS GRAIN;2020;29;FINISTERE;81;E. QUEMENER;29530;;LANDELEAU
148105;47;MAIS GRAIN;2020;29;FINISTERE;78;MANGEL;29550;;PLOMODIERN
148107;47;MAIS GRAIN;2020;1;AIN;88;Thibaut RAY;1600;MISERIEUX;MISERIEUX
148108;47;MAIS GRAIN;2020;38;ISERE;65;Thibaut RAY;38260;MARCILLOLES;MARCILLOLES
148111;47;MAIS GRAIN;2020;86;VIENNE;68;MANGEL;86170;;LE ROCHEREAU
148112;47;MAIS GRAIN;2020;82;TARN ET GARONNE;70;LACHURIE Jean-Pierre;82340;SAINT-LOUP;SAINT-LOUP
148113;47;MAIS GRAIN;2020;86;VIENNE;80;MOYNIER;86510;CHAMPAGNE LE SEC;CHAMPAGNE-LE-SEC
148114;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;72;C. ALIAGA;64530;GER;GER
148116;47;MAIS GRAIN;2020;69;RHONE;63;Thibaut RAY;69330;PUSIGNAN;PUSIGNAN
148117;47;MAIS GRAIN;2020;41;LOIR ET CHER;72;S. BEAUX;41310;;SAINT-AMAND-LONGPRE
148118;47;MAIS GRAIN;2020;72;SARTHE;72;MANGEL;72260;;MAROLLES-LES-BRAULTS
148119;47;MAIS GRAIN;2020;72;SARTHE;72;S. BEAUX;72300;;VION
148120;47;MAIS GRAIN;2020;49;MAINE ET LOIRE;68;MANGEL;49150;;ECHEMIRE
148121;47;MAIS GRAIN;2020;28;EURE ET LOIR;69;MANGEL;28150;;RECLAINVILLE
148122;47;MAIS GRAIN;2020;41;LOIR ET CHER;71;BOISSIERES;41240;RESTREINT;OUZOUER-LE-MARCHE
148123;47;MAIS GRAIN;2020;45;LOIRET;77;BOISSIERES;45320;Les charrons;COURTENAY
148124;47;MAIS GRAIN;2020;41;LOIR ET CHER;72;BOISSIERES;41240;IRRIGUE;OUZOUER-LE-MARCHE
148126;47;MAIS GRAIN;2020;69;RHONE;62;Thibaut RAY;69330;;PUSIGNAN
148127;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;66;C. ALIAGA;64160;BUROS;BUROS
148128;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;83;Jean-Louis Moynier;17700;Magneraud;SAINT-PIERRE-D'AMILLY
148129;47;MAIS GRAIN;2020;40;LANDES;90;C. ALIAGA;40400;TARTAS;TARTAS
148130;47;MAIS GRAIN;2020;24;DORDOGNE;83;GROSSOLEIL;24520;ST AGNE;SAINT-AGNE
148131;47;MAIS GRAIN;2020;31;HAUTE GARONNE;81;LACHURIE Jean-Pierre;31560;CALMONT;CALMONT
148132;47;MAIS GRAIN;2020;31;HAUTE GARONNE;81;LACHURIE Jean-Pierre;31220;MONDAVEZAN;MONDAVEZAN
148134;47;MAIS GRAIN;2020;26;DROME;108;MANGEL;26800;ETOILE;ETOILE-SUR-RHONE
148135;47;MAIS GRAIN;2020;26;DROME;108;T-RAY;26120;CHABEUIL;CHABEUIL
148136;47;MAIS GRAIN;2020;33;GIRONDE;84;GROSSOLEIL;33230;ST MEDARD DE GUIZIERES;SAINT-MEDARD-DE-GUIZIERES
148137;47;MAIS GRAIN;2020;82;TARN ET GARONNE;84;LACHURIE Jean-Pierre;82340;SAINT-LOUP;SAINT-LOUP
148138;47;MAIS GRAIN;2020;82;TARN ET GARONNE;80;LACHURIE Jean-Pierre;82800;NEGREPELISSE;NEGREPELISSE
148139;47;MAIS GRAIN;2020;13;BOUCHES DU RHONE;72;S. JEZEQUEL;13120;;GARDANNE
148140;47;MAIS GRAIN;2020;26;DROME;71;MANGEL;26300;;ALIXAN
148141;47;MAIS GRAIN;2020;26;DROME;72;N. MANGEL;26750;;SAINT-PAUL-LES-ROMANS
148142;47;MAIS GRAIN;2020;40;LANDES;71;F. GAUTIER;40400;;MEILHAN
148143;47;MAIS GRAIN;2020;40;LANDES;72;MANGEL;40320;;SAMADET
148144;47;MAIS GRAIN;2020;40;LANDES;72;MANGEL;40300;;SAINT-ETIENNE-D'ORTHE
148145;47;MAIS GRAIN;2020;47;LOT ET GARONNE;71;MANGEL;47430;;SENESTIS
148146;47;MAIS GRAIN;2020;82;TARN ET GARONNE;71;L. NICOLAS;82800;;BIOULE
148147;47;MAIS GRAIN;2020;82;TARN ET GARONNE;70;S. BEAUX;82170;;MONBEQUI
148148;47;MAIS GRAIN;2020;2;AISNE;72;MANGEL;2350;;CUIRIEUX
148149;47;MAIS GRAIN;2020;8;ARDENNES;57;MANGEL;8220;;SAINT-QUENTIN-LE-PETIT
148150;47;MAIS GRAIN;2020;2;AISNE;72;F. CHEVALIER;2670;;CHAMPS
148151;47;MAIS GRAIN;2020;59;NORD;53;MANGEL;59169;;FERIN
148152;47;MAIS GRAIN;2020;2;AISNE;72;MANGEL;2270;;MORTIERS
148153;47;MAIS GRAIN;2020;10;AUBE;72;MANGEL;10500;;PRECY-NOTRE-DAME
148154;47;MAIS GRAIN;2020;51;MARNE;63;MANGEL;51300;;FAVRESSE
148155;47;MAIS GRAIN;2020;51;MARNE;96;MANGEL;51340;;BIGNICOURT-SUR-SAULX
148156;47;MAIS GRAIN;2020;62;PAS DE CALAIS;87;P-F. LECLERCQ;62182;;VILLERS-LES-CAGNICOURT
148157;47;MAIS GRAIN;2020;67;BAS RHIN;59;MANGEL;67160;;SEEBACH
148158;47;MAIS GRAIN;2020;1;AIN;60;MANGEL;1240;;MARLIEUX
148159;47;MAIS GRAIN;2020;1;AIN;80;MANGEL;1400;;ROMANS
148160;47;MAIS GRAIN;2020;63;PUY DE DOME;62;MANGEL;63260;;THURET
148161;47;MAIS GRAIN;2020;21;COTE D'OR;60;MANGEL;21170;;LOSNE
148162;47;MAIS GRAIN;2020;67;BAS RHIN;59;MANGEL;67112;;BREUSCHWICKERSHEIM
148163;47;MAIS GRAIN;2020;68;HAUT RHIN;72;MANGEL;68600;;NEUF-BRISACH
148164;47;MAIS GRAIN;2020;51;MARNE;63;MANGEL;51300;;THIEBLEMONT-FAREMONT
148165;47;MAIS GRAIN;2020;63;PUY DE DOME;70;MANGEL;63430;;PONT-DU-CHATEAU
148167;47;MAIS GRAIN;2020;67;BAS RHIN;72;LASSERRE Didier;67230;;WESTHOUSE
148168;47;MAIS GRAIN;2020;41;LOIR ET CHER;53;S. BEAUX;41310;;SAINT-AMAND-LONGPRE
148170;47;MAIS GRAIN;2020;49;MAINE ET LOIRE;54;MANGEL;49150;;ECHEMIRE
148171;47;MAIS GRAIN;2020;85;VENDEE;50;MANGEL;85400;;LUCON
148172;47;MAIS GRAIN;2020;36;INDRE;54;Boissieres;36220;;NEONS-SUR-CREUSE
148173;47;MAIS GRAIN;2020;18;CHER;71;BOISSIERES;18700;AUBIGNY SUR NERE (RESTREINT);AUBIGNY-SUR-NERE
148174;47;MAIS GRAIN;2020;18;CHER;53;E.Baranger;18390;AXEREAL;SAINT-MICHEL-DE-VOLANGIS
148175;47;MAIS GRAIN;2020;41;LOIR ET CHER;52;Boissieres;41240;;OUZOUER-LE-MARCHE
148176;47;MAIS GRAIN;2020;58;NIEVRE;53;Boissieres;58150;;SAINT-QUENTIN-SUR-NOHAIN
