x;y;groupe;;;;;;;;;
534477.363;6827812.06;1;;;;;;;;;
573481.562;6929517.8;1;;;;;;;;;
573481.562;6929517.8;1;;;;;;;;;
603191.113;6938074.21;10;;;;;;;;;
557206.449;6957852.83;12;;;;;;;;;
557206.449;6957852.83;5;;;;;;;;;
572862.148;6920264.83;5;;;;;;;;;
585585.395;6981059.64;4;;;;;;;;;
501504.676;6944282.14;7;;;;;;;;;
711930.364;6937219.82;1;;;;;;;;;
758065.26;6990316.38;4;;;;;;;;;
731381.232;7016148.15;1;;;;;;;;;
653510.518;7092844.46;2;;;;;;;;;
775894.308;6990330.7;8;;;;;;;;;
705267.371;7071054.26;7;;;;;;;;;
746428.048;7036212.47;4;;;;;;;;;
716757.734;7021114.46;1;;;;;;;;;
612354.73;6918666.16;1;;;;;;;;;
629574.892;6939308.82;1;;;;;;;;;
630528.321;6915184.95;5;;;;;;;;;
628619.464;6941524.41;1;;;;;;;;;
651783.408;6928818.82;4;;;;;;;;;
703975.076;6951031.55;5;;;;;;;;;
657770.868;6924910.58;1;;;;;;;;;
678741.414;6887562.57;2;;;;;;;;;
684208.148;6895680.64;9;;;;;;;;;
636020.141;6922263.79;1;;;;;;;;;
628300.561;7049826.9;1;;;;;;;;;
691849.504;7025383.63;1;;;;;;;;;
696345.453;7043573.31;6;;;;;;;;;
666033.678;7012742.92;13;;;;;;;;;
673000.95;7005335.02;1;;;;;;;;;
621302.897;7069244.83;13;;;;;;;;;
653718.139;7032493.05;2;;;;;;;;;
631813.067;7087303.28;1;;;;;;;;;
611826.834;6981008.9;2;;;;;;;;;
635031.328;6963513.93;2;;;;;;;;;
655547.432;6988020.09;5;;;;;;;;;
674462.516;6947406.65;5;;;;;;;;;
631712.837;6971374.27;1;;;;;;;;;
643236.899;6960085.92;10;;;;;;;;;
844919.906;6915919.22;4;;;;;;;;;
782671.209;6945822.45;2;;;;;;;;;
784613.659;6935167.37;5;;;;;;;;;
750999.694;6816247.12;2;;;;;;;;;
